analysis_id,s40wlw501uiz7w4
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_name,Midbrain
pvalue,0.2226467
parameter_id,IMPC_GEL_029_001
gene_symbol,Eprs1
mouse_strain,C50BL
