analysis_id,75y7aha22kz9o23
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
pvalue,0.8977194
gene_symbol,Extl1
parameter_name,Total bilirubin
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
