parameter_id,JAXLA_OFD_007_001
analysis_id,3n5dgs9wrq46r6h
gene_symbol,Atrn
parameter_name,Whole arena resting time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,1.361127
gene_accession_id,MGI:1341628
