analysis_id,64iui49s32k7tx8
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Ahcy
parameter_name,Center average speed
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:87968
pvalue,0.430229
