gene_symbol,Dhdds
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
pvalue,0.7753563
analysis_id,i63l4a594s1m63v
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_name,KLRG1+ gd T cells - % of gd T cells
