gene_symbol,Trp53i11
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2670995
mouse_strain,C57BL
pvalue,0.8127823
mouse_life_stage,Early adult
analysis_id,y0330ywmhfbnot4
