analysis_id,0066h11wz54pfp8
gene_accession_id,MGI:107566
mouse_strain,C57BL
pvalue,0.1192794
mouse_life_stage,Early adult
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
gene_symbol,Kifap3
