analysis_id,2146qw130q34klc
gene_accession_id,MGI:1339969
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,center - resting time
pvalue,0.4818018
parameter_id,M-G-P_007_001_011
gene_symbol,Gja10
