analysis_id,bs02wkj6sfq5c03
pvalue,0.3053295
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_name,Ly6Clow monocyte number
gene_symbol,Hpca
parameter_id,MGP_PBI_038_001
