parameter_name,Monocyte percentage
mouse_strain,C57BL
analysis_id,14zu84v8799b33l
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:109356
pvalue,0.814321
gene_symbol,Snap23
mouse_life_stage,Late adult
