parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_id,IMPC_IMM_067_001
pvalue,0.5137351
analysis_id,x6tfxrmi9rrfjqi
gene_symbol,Cntfr
