analysis_id,qe3ej1927qm293w
parameter_id,M-G-P_005_001_001
parameter_name,Weight
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
pvalue,0.05150508
