parameter_name,Fat/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ntvtae92t0o9s8d
pvalue,0.3082172
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
parameter_id,JAXLA_DXA_009_001
