analysis_id,q3ec64r6otv38mk
gene_symbol,Cmpk1
parameter_id,IMPC_EYE_016_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,Lens
mouse_life_stage,Early adult
pvalue,0.6654984
