analysis_id,82lo5034501v8ek
gene_symbol,Mapkap1
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
pvalue,0.1028069
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
parameter_name,HR
