parameter_name,Whole arena resting time
mouse_life_stage,Early adult
analysis_id,7n42p193xq07d92
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.8045237
gene_symbol,Ppm1j
