parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:3026886
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
pvalue,0.3350561
mouse_life_stage,Early adult
analysis_id,v2f3x0109d80h90
gene_symbol,Cdin1
