parameter_name,Chloride
mouse_strain,C57BL
pvalue,0.07417712
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
analysis_id,r8n6myl32gn8udw
parameter_id,HMGULA_CBC_003_001
gene_symbol,Tatdn3
