Gene_symbol,Dnajc6
Analysis_id,7rs2768tod37448
Gene_accession_id,MGI:1919935
Mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
Pvalue,0.4105588
parameter_id,JAX_SLW_014_001
Mouse_life_stage,Early adult
