gene_symbol,Sfpq
pvalue,0.6249704
analysis_id,7em48yh4l16m1y6
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
