analysis_id,d61mp4j7s0r2891
pvalue,0.1308299
gene_symbol,Ivd
mouse_strain,C57BL
parameter_name,Calcium
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
