analysis_id,3ni89btea1651l0
mouse_life_stage,Early adult
gene_symbol,Arnt
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:88071
pvalue,0.05056143
parameter_name,cDCs CD11b Type
mouse_strain,C57BL
