analysis_id,06u25qti24079k3
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:2684980
pvalue,0.1495005
gene_symbol,Mms22l
parameter_name,Hindlimb nail - number
mouse_strain,129SV
