gene_symbol,Psd4
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
pvalue,0.9365423
gene_accession_id,MGI:2674093
analysis_id,b80yk021d239gh1
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
