analysis_id,774k44ppgj171se
pvalue,0.5325144
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1916043
parameter_id,IMPC_ECH_001_001
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
