gene_symbol,Hspa5
parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
pvalue,0.1495198
parameter_name,Vibrissae - appearance
analysis_id,yx3omlh49g0y4e6
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
