analysis_id,289c95o2z5lj16l
gene_symbol,Snap23
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:109356
pvalue,0.8617962
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
