analysis_id,9i881tdkk75i48m
mouse_strain,C57BL
pvalue,0.9354878
gene_symbol,Ncaph
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:2444777
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
