parameter_name,Lens
mouse_strain,C57BL
gene_symbol,Morn5
pvalue,0.493873
mouse_life_stage,Early adult
analysis_id,4h7zv0872s63r31
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1922745
