parameter_name,Center resting time
gene_accession_id,MGI:1924054
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
gene_symbol,Kdm4c
analysis_id,bwhm2u39821b1d6
mouse_life_stage,Early adult
pvalue,0.3662728
