parameter_name,Sacral processes
pvalue,0.4903893
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_XRY_066_001
analysis_id,b4il8qs11l605sv
mouse_strain,C57BL
mouse_life_stage,Early adult
