analysis_id,22d738wj0t1qkz3
mouse_life_stage,E9.5
pvalue,0.08743464
gene_accession_id,MGI:1915087
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
gene_symbol,Tiprl
mouse_strain,C57BL
