parameter_id,CCP_XRY_001_001
pvalue,0.8829719
parameter_name,Skull shape
gene_accession_id,MGI:2446186
mouse_strain,C57BL
gene_symbol,Lpgat1
analysis_id,9u4m05634490t0u
mouse_life_stage,Middle aged adult
