analysis_id,b4kpf84o37zg6yz
gene_symbol,Fgb
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
pvalue,0.6315001
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
