gene_symbol,Ntmt2
parameter_name,Facial Morphology
mouse_life_stage,Early adult
pvalue,0.5455164
analysis_id,x373099n3yv26ku
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:2685053
