parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,IMPC_IMM_032_001
pvalue,0.6328635
analysis_id,kn93iblh8b06bc1
mouse_life_stage,Early adult
