parameter_name,Midbrain
analysis_id,405kw3wn610g2i3
pvalue,0.08237909
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
gene_accession_id,MGI:894679
