gene_symbol,Sfpq
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
analysis_id,553r1916320405q
pvalue,0.5355067
parameter_id,IMPC_IMM_047_001
