analysis_id,5ls50w7xkrvla11
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
gene_symbol,F2
pvalue,0.8794651
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
