analysis_id,df3io08p7u4889z
gene_accession_id,MGI:105072
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
gene_symbol,Rab22a
pvalue,1.266613
parameter_name,B cell number
