parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.08350027
analysis_id,hnfg4k2h92o8hg4
