gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_name,Lymphocyte differential count
pvalue,0.5870179
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
analysis_id,810rs8lt29fcg35
