analysis_id,5qq90208zo1tasm
parameter_name,B2B Cells
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.882241
parameter_id,IMPC_IMM_065_001
mouse_life_stage,E9.5
gene_symbol,Ints7
