parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
pvalue,0.112
gene_symbol,Bach2
parameter_name,NK cell number
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
analysis_id,brl878369x4lau0
