analysis_id,d5ljy96k4y78d97
gene_accession_id,MGI:891989
pvalue,0.6314839
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Npbwr1
