gene_symbol,Usp37
mouse_life_stage,Early adult
pvalue,0.6506152
mouse_strain,C57BL
gene_accession_id,MGI:2442483
analysis_id,h967eij6g8l1n27
parameter_name,CD4+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_032_001
