parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
pvalue,0.9157803
analysis_id,bn1z352isf93d4b
gene_symbol,Slc30a4
mouse_strain,C57BL
