gene_symbol,Tox
parameter_name,Cholesterol ratio
analysis_id,3y1uv2wj2525k18
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6151499
gene_accession_id,MGI:2181659
parameter_id,IMPC_CBC_058_001
