analysis_id,ponef594y8z6u01
mouse_strain,C57BL
pvalue,0.5503019
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
