parameter_id,IMPC_ECG_010_001
gene_symbol,Frmpd1
parameter_name,HRV
pvalue,0.7860338
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,23tzv5w166c31j1
