parameter_name,Dark side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
pvalue,0.9435777
analysis_id,uc8wa6gbq30275k
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
