parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
analysis_id,3nx8408k24i8bf5
gene_accession_id,MGI:1274787
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
gene_symbol,Trdmt1
pvalue,1.365351
