parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
parameter_name,Total food intake
gene_symbol,Gpbp1l1
analysis_id,csbijkc90923764
pvalue,0.9722433
mouse_strain,C57BL
gene_accession_id,MGI:1924360
