parameter_name,Limb grasp
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,IMPC_CSD_039_001
analysis_id,fj8jxj9289f9r3h
pvalue,0.07688938
mouse_life_stage,Early adult
