parameter_name,Creatinine
mouse_strain,C57BL
analysis_id,74k8v6w6ucm499x
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
gene_symbol,Traf6
pvalue,0.9663637
