analysis_id,d858b4zw2631x38
pvalue,0.9668728
gene_accession_id,MGI:1917604
parameter_id,IMPC_IMM_004_002
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
