analysis_id,sj6ztdxkieoh8v2
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.3647135
parameter_name,Percentage center time
mouse_life_stage,Middle aged adult
