gene_symbol,Tiprl
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1915087
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.1498717
mouse_life_stage,E9.5
analysis_id,9473wrxnw30l2yw
mouse_strain,C57BL
