analysis_id,xdxzn6e8j681z72
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1528737
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
