analysis_id,a1w83yz49s8r101
mouse_strain,C57BL
pvalue,0.2277109
parameter_name,Tibia
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_id,IMPC_XRY_025_001
