parameter_name,Upper teeth appearance
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
analysis_id,kq15qtcn2tl58p9
gene_symbol,Slc30a4
parameter_id,IMPC_CSD_069_001
mouse_strain,C57BL
pvalue,0.2556415
