gene_symbol,Arnt
mouse_life_stage,Early adult
pvalue,0.9479464
analysis_id,x17w4j86n3irht9
gene_accession_id,MGI:88071
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
parameter_name,IgD+ mature B cell percentage
