parameter_name,Right kidney weight
gene_symbol,Traf6
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9750328
analysis_id,u1602s73d9ofidj
gene_accession_id,MGI:108072
