analysis_id,m2g39717q5t2384
pvalue,0.7505895
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
mouse_strain,C57BL
mouse_life_stage,Early adult
